DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,18.6744,19.292,17.9612,19.1702,Lam Research,LRCX,Information Technology
2009-01-05,18.8049,19.4312,18.6483,19.1267,Lam Research,LRCX,Information Technology
2009-01-06,19.4486,20.5967,18.9615,20.3184,Lam Research,LRCX,Information Technology
2009-01-07,19.9878,20.0661,19.0485,19.7095,Lam Research,LRCX,Information Technology
2009-01-08,19.666,20.4219,19.3442,20.3097,Lam Research,LRCX,Information Technology
2009-01-09,20.3792,20.5184,19.666,20.4401,Lam Research,LRCX,Information Technology
2009-01-12,20.3097,20.3705,19.0398,19.379,Lam Research,LRCX,Information Technology
2009-01-13,19.0745,19.7356,18.4396,18.8136,Lam Research,LRCX,Information Technology
2009-01-14,18.4135,18.7005,17.6829,17.7873,Lam Research,LRCX,Information Technology
2009-01-15,17.6916,18.7005,17.1784,18.3787,Lam Research,LRCX,Information Technology
2009-01-16,18.918,19.5355,18.3961,19.2833,Lam Research,LRCX,Information Technology
2009-01-20,19.0485,19.4486,18.17,18.17,Lam Research,LRCX,Information Technology
2009-01-21,18.3961,18.6136,17.4654,18.4309,Lam Research,LRCX,Information Technology
2009-01-22,17.996,18.6049,17.3524,17.8829,Lam Research,LRCX,Information Technology
2009-01-23,17.6742,19.4312,17.5872,19.0572,Lam Research,LRCX,Information Technology
2009-01-26,19.005,19.6312,18.6397,18.9441,Lam Research,LRCX,Information Technology
2009-01-27,18.8745,19.7878,18.7875,19.5007,Lam Research,LRCX,Information Technology
2009-01-28,19.9704,21.1186,19.7182,20.7793,Lam Research,LRCX,Information Technology
2009-01-29,18.8919,19.4225,17.5263,18.3526,Lam Research,LRCX,Information Technology
2009-01-30,18.1352,18.7701,17.3958,17.5785,Lam Research,LRCX,Information Technology
2009-02-02,17.3958,17.8307,16.5782,17.1175,Lam Research,LRCX,Information Technology
2009-02-03,17.1958,17.3611,16.6043,17.2654,Lam Research,LRCX,Information Technology
